Draft Position,Name,Position,Effective field goal rating (EFG (%),,,,,,,,,,,,,,,,,,
4,Keegan Murray,SF,61.4,,,,,,,,,,,,,,,,,,
48,Kendall Brown,SF,61.5,,,,,,,,,,,,,,,,,,
39,Khalifa Diop,C,62.1,,,,,,,,,,,,,,,,,,
36,Gabriele Procida,SG,62.4,,,,,,,,,,,,,,,,,,
22,Walker Kessler,C,62.7,,,,,,,,,,,,,,,,,,
23,David Roddy,SF,63,,,,,,,,,,,,,,,,,,
33,Christian Koloko,C,63.5,,,,,,,,,,,,,,,,,,
46,Ismael Kamagate,C,64.3,,,,,,,,,,,,,,,,,,
2,Chet Holmgren,C,68,,,,,,,,,,,,,,,,,,
15,Mark Williams,C,70.4,,,,,,,,,,,,,,,,,,
